ticker,train_start,train_end,test_end,zone_pct,rr_tp2,climax_mx,is_trades,is_win_rate,is_return_pct,trades,win_rate,total_return_pct,max_dd_pct,profit_factor
YM=F,2024-03-25,2024-11-20,2025-03-20,0.1,3.0,2.0,4,0.75,2.514141675005299,3,0.0,-1.6370180005541024,-1.637018000554108,0.0
YM=F,2024-05-24,2025-01-19,2025-05-19,0.1,2.0,2.0,5,0.4,0.15674598907355897,0,,0.0,0.0,
YM=F,2024-07-23,2025-03-20,2025-07-18,0.1,2.0,2.0,6,0.5,0.24246288198175314,2,0.5,0.5097957501919437,-0.5502622644554658,1.9166883908985237
YM=F,2024-09-21,2025-05-19,2025-09-16,0.1,2.0,1.5,5,0.4,-0.7075555692804159,2,0.5,0.23087642541033127,-0.5502622644554686,1.419575246794002
YM=F,2024-11-20,2025-07-18,2025-11-15,0.2,1.5,1.5,4,0.25,-1.5667418217972795,2,1.0,1.2541877602825213,0.0,
YM=F,2025-01-19,2025-09-16,2026-01-14,0.2,2.0,1.5,4,0.75,1.0358593257125737,3,1.0,1.5942753602472548,0.0,
YM=F,2025-03-20,2025-11-15,2026-03-15,0.15,3.0,1.5,6,0.8333333333333334,4.270608249608854,1,1.0,0.03746441038579018,0.0,
YM=F,2025-05-19,2026-01-14,2026-05-14,0.15,3.0,1.5,6,0.8333333333333334,2.904142608719429,1,1.0,0.962462725598523,0.0,
^GSPC,2024-03-21,2024-11-16,2025-03-16,0.1,1.5,1.5,3,0.3333333333333333,-0.489934183303653,0,,0.0,0.0,
^GSPC,2024-05-20,2025-01-15,2025-05-15,0.1,1.5,1.5,3,0.3333333333333333,-0.4899341833036308,0,,0.0,0.0,
^GSPC,2024-07-19,2025-03-16,2025-07-14,0.15,1.5,1.5,3,0.3333333333333333,-0.5076421245616469,0,,0.0,0.0,
^GSPC,2025-01-15,2025-09-12,2026-01-10,0.2,3.0,1.75,3,1.0,1.234116362695592,1,0.0,-0.5212901111953938,-0.5212901111953943,0.0
^GSPC,2025-03-16,2025-11-11,2026-03-11,0.1,3.0,1.5,3,0.6666666666666666,0.4952501997545822,0,,0.0,0.0,
^GSPC,2025-05-15,2026-01-10,2026-05-10,0.1,3.0,1.5,3,0.6666666666666666,0.4952501997545822,1,0.0,-0.5367414514225177,-0.5367414514225128,0.0
^NDX,2023-07-25,2024-03-21,2024-07-19,0.1,3.0,1.5,4,0.5,0.9889715422120027,1,0.0,-0.5381277625423508,-0.5381277625423536,0.0
^NDX,2023-11-22,2024-07-19,2024-11-16,0.15,3.0,1.5,3,0.3333333333333333,0.006375402796288121,1,1.0,0.03194908421881859,0.0,
^NDX,2024-01-21,2024-09-17,2025-01-15,0.2,1.5,2.0,3,0.0,-1.5539304468617177,0,,0.0,0.0,
^NDX,2024-03-21,2024-11-16,2025-03-16,0.2,1.5,2.0,3,0.0,-1.5539304468617177,3,0.6666666666666666,-0.0029107045429688228,-0.520411167484981,0.9944069137542804
^NDX,2024-05-20,2025-01-15,2025-05-15,0.2,1.5,2.0,3,0.3333333333333333,-0.9896757868157358,1,1.0,0.15984283543388766,0.0,
^NDX,2024-07-19,2025-03-16,2025-07-14,0.2,3.0,1.5,3,1.0,1.0026779733541824,0,,0.0,0.0,
^NDX,2024-11-16,2025-07-14,2025-11-11,0.2,3.0,1.5,3,0.6666666666666666,0.44495751364872493,3,0.3333333333333333,-0.16563971513696707,-0.5374267895726007,0.8451708149331891
^NDX,2025-01-15,2025-09-12,2026-01-10,0.15,1.5,1.5,3,1.0,0.649973610707244,0,,0.0,0.0,
^NDX,2025-03-16,2025-11-11,2026-03-11,0.2,3.0,1.5,3,0.3333333333333333,-0.16563971512405518,1,1.0,0.181591151365601,0.0,
^NDX,2025-05-15,2026-01-10,2026-05-10,0.2,3.0,1.5,3,0.3333333333333333,-0.16563971512405518,1,1.0,0.18159114757321237,0.0,
^DJI,2023-07-25,2024-03-21,2024-07-19,0.1,3.0,1.5,6,1.0,1.4144847174846875,1,1.0,0.07166524027106824,-0.0018424387034997236,
^DJI,2023-09-23,2024-05-20,2024-09-17,0.1,3.0,1.5,5,1.0,2.457826947457731,4,0.5,-1.0356381911957424,-1.0356381911957397,0.022886853840994103
^DJI,2023-11-22,2024-07-19,2024-11-16,0.1,3.0,1.5,3,1.0,2.0907789531622534,3,0.6666666666666666,-0.5196500157876982,-0.5452928398430009,0.04482119223945309
^DJI,2024-01-21,2024-09-17,2025-01-15,0.1,3.0,1.5,5,0.8,0.48559236806193784,0,,0.0,0.0,
^DJI,2024-03-21,2024-11-16,2025-03-16,0.1,1.5,1.5,5,0.6,-0.9647151435227208,0,,0.0,0.0,
^DJI,2024-05-20,2025-01-15,2025-05-15,0.1,1.5,1.5,4,0.5,-1.0356381911957424,0,,0.0,0.0,
